-0.01744748,-0.00892545,3.12147757,-0.1905439,0.71493739,-3.165,-10.343,-13.942,-12.92,-26.358,-18.148,-27.085,Acer-Campestre
-0.00852335,-0.0035671,2.72583583,-0.13624608,0.31929565,-3.168,-7.966,-14.983,-13.417,-27.702,-17.423,-27.861,Acer-Campestre
-0.01287709,-0.00553621,2.91574976,-0.14329797,0.50920958,-3.169,-9.122,-14.166,-13.024,-26.654,-18.058,-27.033,Acer-Campestre
-0.01460543,-0.00715404,3.02628224,-0.17625595,0.61974206,-3.169,-10.049,-14.209,-13.128,-26.807,-18.59,-27.456,Acer-Campestre
-0.02134541,-0.0099937,3.17004164,-0.1666318,0.76350146,-3.157,-8.042,-14.12,-12.466,-26.274,-16.519,-25.78,Acer-Campestre
-0.02468673,-0.01230624,3.25928957,-0.18569501, 0.85274939,-3.156,-10.317,-14.236,-12.711,-26.199,-17.929,-26.782,Acer-Campestre
-0.01691905,-0.00767942,3.05679695,-0.15712441,0.65025677,-3.16,-8.213,-14.059,-13.203,-27.959,-18.019,-26.836,Acer-Campestre
-0.01665158,-0.00722003,3.03023681,-0.14644565,0.62369663,-3.16,-8.252,-14.945,-12.975,-27.169,-17.178,-27.026,Acer-Campestre
-0.01396365,-0.00598123,2.949106,-0.14287628,0.54256582,-3.166,-10.199,-15.227,-13.224,-27.59,-18.731,-27.61,Acer-Campestre
-0.01716919,-0.00830687,3.0905932,-0.17383712,0.68405302,-3.164,-8.499,-13.92,-12.81,-26.311,-17.363,-26.34,Acer-Campestre
-0.01152965,-0.00526034,2.89368918,-0.15637812,0.487149,-3.17,-9.066,-15.152,-13.341,-28.06,-17.903,-27.613,Acer-Ginnala
-0.01425,-0.00647669,2.9834214,-0.15646101,0.57688122,-3.167,-9.646,-14.027,-13.137,-26.729,-18.151,-27.389,Acer-Ginnala
-0.01598159,-0.00693708,3.01301521,-0.1464531,0.60647503,-3.162,-8.949,-15.159,-13.139,-27.41,-17.701,-27.471,Acer-Ginnala
